G_{{g_{GER_{1}}}{p_{Ponta}}},Y_{g_{GER_{1}}},X_{g_{GER_{1}}},G_{{g_{GER_{2}}}{p_{Ponta}}},Y_{g_{GER_{2}}},X_{g_{GER_{2}}},G_{{g_{GER_{3}}}{p_{Ponta}}},Y_{g_{GER_{3}}},X_{g_{GER_{3}}},G_{{g_{GER_{4}}}{p_{Ponta}}},Y_{g_{GER_{4}}},X_{g_{GER_{4}}},\Theta_{{CB_{BAR_{1}}}{p_{Ponta}}},CMOBar_{{CB_{BAR_{1}}}{p_{Ponta}}},CMEBar_{{CB_{BAR_{1}}}{p_{Ponta}}},\Theta_{{CB_{BAR_{2}}}{p_{Ponta}}},CMOBar_{{CB_{BAR_{2}}}{p_{Ponta}}},CMEBar_{{CB_{BAR_{2}}}{p_{Ponta}}},\Theta_{{CB_{BAR_{3}}}{p_{Ponta}}},CMOBar_{{CB_{BAR_{3}}}{p_{Ponta}}},CMEBar_{{CB_{BAR_{3}}}{p_{Ponta}}},\Theta_{{CB_{BAR_{4}}}{p_{Ponta}}},CMOBar_{{CB_{BAR_{4}}}{p_{Ponta}}},CMEBar_{{CB_{BAR_{4}}}{p_{Ponta}}},\Theta_{{CB_{BAR_{5}}}{p_{Ponta}}},CMOBar_{{CB_{BAR_{5}}}{p_{Ponta}}},CMEBar_{{CB_{BAR_{5}}}{p_{Ponta}}},F_{{LT_{LINE_{120}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{120}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{120}}}{p_{Ponta}}},CMET_{{LT_{LINE_{120}}}{p_{Ponta}}},CRT_{{LT_{LINE_{120}}}{p_{Ponta}}},UR_{{LT_{LINE_{120}}}{p_{Ponta}}},Y_{l_{LINE_{120}}},X_{l_{LINE_{120}}},F_{{LT_{LINE_{130}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{130}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{130}}}{p_{Ponta}}},CMET_{{LT_{LINE_{130}}}{p_{Ponta}}},CRT_{{LT_{LINE_{130}}}{p_{Ponta}}},UR_{{LT_{LINE_{130}}}{p_{Ponta}}},Y_{l_{LINE_{130}}},X_{l_{LINE_{130}}},F_{{LT_{LINE_{140}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{140}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{140}}}{p_{Ponta}}},CMET_{{LT_{LINE_{140}}}{p_{Ponta}}},CRT_{{LT_{LINE_{140}}}{p_{Ponta}}},UR_{{LT_{LINE_{140}}}{p_{Ponta}}},Y_{l_{LINE_{140}}},X_{l_{LINE_{140}}},F_{{LT_{LINE_{141}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{141}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{141}}}{p_{Ponta}}},CMET_{{LT_{LINE_{141}}}{p_{Ponta}}},CRT_{{LT_{LINE_{141}}}{p_{Ponta}}},UR_{{LT_{LINE_{141}}}{p_{Ponta}}},Y_{l_{LINE_{141}}},X_{l_{LINE_{141}}},F_{{LT_{LINE_{150}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{150}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{150}}}{p_{Ponta}}},CMET_{{LT_{LINE_{150}}}{p_{Ponta}}},CRT_{{LT_{LINE_{150}}}{p_{Ponta}}},UR_{{LT_{LINE_{150}}}{p_{Ponta}}},Y_{l_{LINE_{150}}},X_{l_{LINE_{150}}},F_{{LT_{LINE_{151}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{151}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{151}}}{p_{Ponta}}},CMET_{{LT_{LINE_{151}}}{p_{Ponta}}},CRT_{{LT_{LINE_{151}}}{p_{Ponta}}},UR_{{LT_{LINE_{151}}}{p_{Ponta}}},Y_{l_{LINE_{151}}},X_{l_{LINE_{151}}},F_{{LT_{LINE_{152}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{152}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{152}}}{p_{Ponta}}},CMET_{{LT_{LINE_{152}}}{p_{Ponta}}},CRT_{{LT_{LINE_{152}}}{p_{Ponta}}},UR_{{LT_{LINE_{152}}}{p_{Ponta}}},Y_{l_{LINE_{152}}},X_{l_{LINE_{152}}},F_{{LT_{LINE_{230}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{230}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{230}}}{p_{Ponta}}},CMET_{{LT_{LINE_{230}}}{p_{Ponta}}},CRT_{{LT_{LINE_{230}}}{p_{Ponta}}},UR_{{LT_{LINE_{230}}}{p_{Ponta}}},Y_{l_{LINE_{230}}},X_{l_{LINE_{230}}},F_{{LT_{LINE_{231}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{231}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{231}}}{p_{Ponta}}},CMET_{{LT_{LINE_{231}}}{p_{Ponta}}},CRT_{{LT_{LINE_{231}}}{p_{Ponta}}},UR_{{LT_{LINE_{231}}}{p_{Ponta}}},Y_{l_{LINE_{231}}},X_{l_{LINE_{231}}},F_{{LT_{LINE_{250}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{250}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{250}}}{p_{Ponta}}},CMET_{{LT_{LINE_{250}}}{p_{Ponta}}},CRT_{{LT_{LINE_{250}}}{p_{Ponta}}},UR_{{LT_{LINE_{250}}}{p_{Ponta}}},Y_{l_{LINE_{250}}},X_{l_{LINE_{250}}},F_{{LT_{LINE_{340}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{340}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{340}}}{p_{Ponta}}},CMET_{{LT_{LINE_{340}}}{p_{Ponta}}},CRT_{{LT_{LINE_{340}}}{p_{Ponta}}},UR_{{LT_{LINE_{340}}}{p_{Ponta}}},Y_{l_{LINE_{340}}},X_{l_{LINE_{340}}},F_{{LT_{LINE_{350}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{350}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{350}}}{p_{Ponta}}},CMET_{{LT_{LINE_{350}}}{p_{Ponta}}},CRT_{{LT_{LINE_{350}}}{p_{Ponta}}},UR_{{LT_{LINE_{350}}}{p_{Ponta}}},Y_{l_{LINE_{350}}},X_{l_{LINE_{350}}},F_{{LT_{LINE_{351}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{351}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{351}}}{p_{Ponta}}},CMET_{{LT_{LINE_{351}}}{p_{Ponta}}},CRT_{{LT_{LINE_{351}}}{p_{Ponta}}},UR_{{LT_{LINE_{351}}}{p_{Ponta}}},Y_{l_{LINE_{351}}},X_{l_{LINE_{351}}},F_{{LT_{LINE_{450}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{450}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{450}}}{p_{Ponta}}},CMET_{{LT_{LINE_{450}}}{p_{Ponta}}},CRT_{{LT_{LINE_{450}}}{p_{Ponta}}},UR_{{LT_{LINE_{450}}}{p_{Ponta}}},Y_{l_{LINE_{450}}},X_{l_{LINE_{450}}},Ge_{Total}{Ponta},Demand_{Total}{Ponta},DemandBar_{{CB_{BAR_{1}}}{p_{Ponta}}},DeficitBar_{{CB_{BAR_{1}}}{p_{Ponta}}},DemandBar_{{CB_{BAR_{2}}}{p_{Ponta}}},DeficitBar_{{CB_{BAR_{2}}}{p_{Ponta}}},DemandBar_{{CB_{BAR_{3}}}{p_{Ponta}}},DeficitBar_{{CB_{BAR_{3}}}{p_{Ponta}}},DemandBar_{{CB_{BAR_{4}}}{p_{Ponta}}},DeficitBar_{{CB_{BAR_{4}}}{p_{Ponta}}},DemandBar_{{CB_{BAR_{5}}}{p_{Ponta}}},DeficitBar_{{CB_{BAR_{5}}}{p_{Ponta}}},Cost_{var},Cost_{inv},CMO_{avg},CME_{avg}
180.0,1.0,1.0,0.0,0.0,0.0,200.0,1.0,1.0,0.0,0.0,0.0,0.0,611800.0,611800.0,-2.4,611800.0,611800.0,0.0,611800.0,611800.0,-1.6,611800.0,611800.0,-1.2,611800.0,611800.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.6,0.0,0.0,0.0,0.4,1.0,1.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.2,0.0,0.0,0.0,0.6,1.0,1.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,-120.0,-2.4,0.0,0.0,0.0,-0.6,1.0,1.0,0.0,-2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.2,0.0,0.0,0.0,0.4,1.0,1.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,380.0,380,40,0.0,120,0.0,20,0.0,80,0.0,120,0.0,215004000.0,0.0,0.0,0.0
0.0,0.0,1.0,440.0,1.0,1.0,70.0,0.0,1.0,250.0,1.0,1.0,0.0,397272.73,397272.73,-2.0,437000.0,437000.0,0.8,476727.27,476727.27,-1.6,397272.73,397272.73,-2.0,516454.55,516454.55,100.0,2.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,-0.8,79454.545,79454.545,0.0,0.0,0.0,0.0,80.0,1.6,0.0,0.0,0.0,0.4,0.0,1.0,80.0,1.6,0.0,0.0,0.0,0.4,1.0,1.0,100.0,2.0,119181.82,119181.82,-11918182.0,1.0,0.0,1.0,0.0,2.0,158909.09,158909.09,0.0,0.0,0.0,0.0,0.0,2.0,119181.82,119181.82,0.0,0.0,0.0,0.0,-140.0,-2.8,0.0,0.0,0.0,-0.7000000000000001,0.0,1.0,0.0,-2.8,39727.273,39727.273,0.0,0.0,0.0,0.0,0.0,0.0,79454.545,79454.545,0.0,0.0,0.0,0.0,0.0,2.4000000000000004,79454.545,79454.545,0.0,0.0,0.0,0.0,140.0,2.8,0.0,0.0,0.0,0.9333333333333333,0.0,1.0,0.0,2.8,39727.273,39727.273,0.0,0.0,0.0,0.0,0.0,0.3999999999999999,119181.82,119181.82,0.0,0.0,0.0,0.0,760.0,760,80,0.0,240,0.0,40,0.0,160,0.0,240,0.0,317420909.09090906,54545454.54545455,3059000.0,3059000.0
0.0,0.0,1.0,500.0,0.0,1.0,100.0,0.0,1.0,250.0,0.0,1.0,0.0,433388.43,433388.43,-2.0,433388.43,433388.43,1.0,433388.43,433388.43,-2.0,433388.43,433388.43,-2.0,3611570.2,3611570.2,100.0,2.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,0.5,0.0,1.0,100.0,2.0,0.0,0.0,0.0,0.5,0.0,1.0,100.0,2.0,3178181.8,3178181.8,-317818180.0,1.0,0.0,1.0,0.0,2.0,3178181.8,3178181.8,0.0,0.0,0.0,0.0,0.0,2.0,3178181.8,3178181.8,0.0,0.0,0.0,0.0,-150.0,-3.0,0.0,0.0,0.0,-0.75,0.0,1.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3178181.8,3178181.8,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,3.0,3178181.8,3178181.8,-476727270.0,1.0,0.0,1.0,0.0,3.0,3178181.8,3178181.8,0.0,0.0,0.0,0.0,0.0,0.0,3178181.8,3178181.8,0.0,0.0,0.0,0.0,850.0,850,100,0.0,250,0.0,50,0.0,200,0.0,250,0.0,323235537.1900826,49586776.859504126,2224727.2800000003,2224727.2800000003
162.5,0.0,1.0,500.0,0.0,1.0,187.5,0.0,1.0,250.0,0.0,1.0,0.0,459654.4,459654.4,-2.25,426821.94,426821.94,1.5,393989.48,393989.48,-2.5,459654.4,459654.4,-1.5,476070.62,476070.62,112.5,2.25,0.0,0.0,0.0,0.5625,0.0,1.0,0.0,-1.5,65664.914,65664.914,0.0,0.0,0.0,0.0,125.0,2.5,0.0,0.0,0.0,0.625,0.0,1.0,125.0,2.5,0.0,0.0,0.0,0.625,0.0,1.0,75.0,1.5,0.0,0.0,0.0,0.75,0.0,1.0,75.0,1.5,0.0,0.0,0.0,0.75,1.0,1.0,0.0,1.5,16416.228,16416.228,0.0,0.0,0.0,0.0,-187.5,-3.75,0.0,0.0,0.0,-0.9375,0.0,1.0,0.0,-3.75,32832.457,32832.457,0.0,0.0,0.0,0.0,0.0,-0.75,49248.685,49248.685,0.0,0.0,0.0,0.0,0.0,4.0,65664.914,65664.914,0.0,0.0,0.0,0.0,150.0,3.0,114913.6,114913.6,-17237040.0,1.0,0.0,1.0,0.0,3.0,82081.142,82081.142,0.0,0.0,0.0,0.0,0.0,-1.0,16416.228,16416.228,0.0,0.0,0.0,0.0,1100.0,1100,150,0.0,300,0.0,100,0.0,250,0.0,300,0.0,403018407.212622,47332832.45679938,5345123.92,5345123.92
320.0,0.0,1.0,500.0,0.0,1.0,200.0,0.0,1.0,250.0,0.0,1.0,0.0,417867.63,417867.63,-3.14,417867.63,417867.63,0.72,417867.63,417867.63,-2.5,417867.63,417867.63,-1.42,417867.63,417867.63,157.0,3.14,0.0,0.0,0.0,0.785,0.0,1.0,0.0,-0.72,0.0,0.0,0.0,0.0,0.0,0.0,125.0,2.5,0.0,0.0,0.0,0.625,0.0,1.0,125.0,2.5,0.0,0.0,0.0,0.625,0.0,1.0,71.0,1.42,0.0,0.0,0.0,0.71,0.0,1.0,71.0,1.42,0.0,0.0,0.0,0.71,0.0,1.0,71.0,1.42,0.0,0.0,0.0,0.71,1.0,1.0,-193.0,-3.8600000000000003,0.0,0.0,0.0,-0.965,0.0,1.0,0.0,-3.8600000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,107.0,2.1399999999999997,0.0,0.0,0.0,0.7133333333333334,0.0,1.0,0.0,2.1399999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,1270.0,1270,200,0.0,350,0.0,150,0.0,250,0.0,320,0.0,436671675.4320059,45078888.05409466,2216190.84,2216190.84
