G_{{g_{GER_{1}}}{p_{Ponta}}},Y_{g_{GER_{1}}},X_{g_{GER_{1}}},G_{{g_{GER_{2}}}{p_{Ponta}}},Y_{g_{GER_{2}}},X_{g_{GER_{2}}},G_{{g_{GER_{3}}}{p_{Ponta}}},Y_{g_{GER_{3}}},X_{g_{GER_{3}}},G_{{g_{GER_{4}}}{p_{Ponta}}},Y_{g_{GER_{4}}},X_{g_{GER_{4}}},\Theta_{{CB_{BAR_{1}}}{p_{Ponta}}},CMOBar_{{CB_{BAR_{1}}}{p_{Ponta}}},CMEBar_{{CB_{BAR_{1}}}{p_{Ponta}}},\Theta_{{CB_{BAR_{2}}}{p_{Ponta}}},CMOBar_{{CB_{BAR_{2}}}{p_{Ponta}}},CMEBar_{{CB_{BAR_{2}}}{p_{Ponta}}},\Theta_{{CB_{BAR_{3}}}{p_{Ponta}}},CMOBar_{{CB_{BAR_{3}}}{p_{Ponta}}},CMEBar_{{CB_{BAR_{3}}}{p_{Ponta}}},\Theta_{{CB_{BAR_{4}}}{p_{Ponta}}},CMOBar_{{CB_{BAR_{4}}}{p_{Ponta}}},CMEBar_{{CB_{BAR_{4}}}{p_{Ponta}}},\Theta_{{CB_{BAR_{5}}}{p_{Ponta}}},CMOBar_{{CB_{BAR_{5}}}{p_{Ponta}}},CMEBar_{{CB_{BAR_{5}}}{p_{Ponta}}},F_{{LT_{LINE_{120}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{120}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{120}}}{p_{Ponta}}},CMET_{{LT_{LINE_{120}}}{p_{Ponta}}},CRT_{{LT_{LINE_{120}}}{p_{Ponta}}},UR_{{LT_{LINE_{120}}}{p_{Ponta}}},Y_{l_{LINE_{120}}},X_{l_{LINE_{120}}},F_{{LT_{LINE_{130}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{130}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{130}}}{p_{Ponta}}},CMET_{{LT_{LINE_{130}}}{p_{Ponta}}},CRT_{{LT_{LINE_{130}}}{p_{Ponta}}},UR_{{LT_{LINE_{130}}}{p_{Ponta}}},Y_{l_{LINE_{130}}},X_{l_{LINE_{130}}},F_{{LT_{LINE_{140}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{140}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{140}}}{p_{Ponta}}},CMET_{{LT_{LINE_{140}}}{p_{Ponta}}},CRT_{{LT_{LINE_{140}}}{p_{Ponta}}},UR_{{LT_{LINE_{140}}}{p_{Ponta}}},Y_{l_{LINE_{140}}},X_{l_{LINE_{140}}},F_{{LT_{LINE_{141}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{141}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{141}}}{p_{Ponta}}},CMET_{{LT_{LINE_{141}}}{p_{Ponta}}},CRT_{{LT_{LINE_{141}}}{p_{Ponta}}},UR_{{LT_{LINE_{141}}}{p_{Ponta}}},Y_{l_{LINE_{141}}},X_{l_{LINE_{141}}},F_{{LT_{LINE_{150}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{150}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{150}}}{p_{Ponta}}},CMET_{{LT_{LINE_{150}}}{p_{Ponta}}},CRT_{{LT_{LINE_{150}}}{p_{Ponta}}},UR_{{LT_{LINE_{150}}}{p_{Ponta}}},Y_{l_{LINE_{150}}},X_{l_{LINE_{150}}},F_{{LT_{LINE_{151}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{151}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{151}}}{p_{Ponta}}},CMET_{{LT_{LINE_{151}}}{p_{Ponta}}},CRT_{{LT_{LINE_{151}}}{p_{Ponta}}},UR_{{LT_{LINE_{151}}}{p_{Ponta}}},Y_{l_{LINE_{151}}},X_{l_{LINE_{151}}},F_{{LT_{LINE_{152}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{152}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{152}}}{p_{Ponta}}},CMET_{{LT_{LINE_{152}}}{p_{Ponta}}},CRT_{{LT_{LINE_{152}}}{p_{Ponta}}},UR_{{LT_{LINE_{152}}}{p_{Ponta}}},Y_{l_{LINE_{152}}},X_{l_{LINE_{152}}},F_{{LT_{LINE_{230}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{230}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{230}}}{p_{Ponta}}},CMET_{{LT_{LINE_{230}}}{p_{Ponta}}},CRT_{{LT_{LINE_{230}}}{p_{Ponta}}},UR_{{LT_{LINE_{230}}}{p_{Ponta}}},Y_{l_{LINE_{230}}},X_{l_{LINE_{230}}},F_{{LT_{LINE_{231}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{231}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{231}}}{p_{Ponta}}},CMET_{{LT_{LINE_{231}}}{p_{Ponta}}},CRT_{{LT_{LINE_{231}}}{p_{Ponta}}},UR_{{LT_{LINE_{231}}}{p_{Ponta}}},Y_{l_{LINE_{231}}},X_{l_{LINE_{231}}},F_{{LT_{LINE_{250}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{250}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{250}}}{p_{Ponta}}},CMET_{{LT_{LINE_{250}}}{p_{Ponta}}},CRT_{{LT_{LINE_{250}}}{p_{Ponta}}},UR_{{LT_{LINE_{250}}}{p_{Ponta}}},Y_{l_{LINE_{250}}},X_{l_{LINE_{250}}},F_{{LT_{LINE_{340}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{340}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{340}}}{p_{Ponta}}},CMET_{{LT_{LINE_{340}}}{p_{Ponta}}},CRT_{{LT_{LINE_{340}}}{p_{Ponta}}},UR_{{LT_{LINE_{340}}}{p_{Ponta}}},Y_{l_{LINE_{340}}},X_{l_{LINE_{340}}},F_{{LT_{LINE_{350}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{350}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{350}}}{p_{Ponta}}},CMET_{{LT_{LINE_{350}}}{p_{Ponta}}},CRT_{{LT_{LINE_{350}}}{p_{Ponta}}},UR_{{LT_{LINE_{350}}}{p_{Ponta}}},Y_{l_{LINE_{350}}},X_{l_{LINE_{350}}},F_{{LT_{LINE_{351}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{351}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{351}}}{p_{Ponta}}},CMET_{{LT_{LINE_{351}}}{p_{Ponta}}},CRT_{{LT_{LINE_{351}}}{p_{Ponta}}},UR_{{LT_{LINE_{351}}}{p_{Ponta}}},Y_{l_{LINE_{351}}},X_{l_{LINE_{351}}},F_{{LT_{LINE_{450}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{450}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{450}}}{p_{Ponta}}},CMET_{{LT_{LINE_{450}}}{p_{Ponta}}},CRT_{{LT_{LINE_{450}}}{p_{Ponta}}},UR_{{LT_{LINE_{450}}}{p_{Ponta}}},Y_{l_{LINE_{450}}},X_{l_{LINE_{450}}},Ge_{Total}{Ponta},Demand_{Total}{Ponta},DemandBar_{{CB_{BAR_{1}}}{p_{Ponta}}},DeficitBar_{{CB_{BAR_{1}}}{p_{Ponta}}},DemandBar_{{CB_{BAR_{2}}}{p_{Ponta}}},DeficitBar_{{CB_{BAR_{2}}}{p_{Ponta}}},DemandBar_{{CB_{BAR_{3}}}{p_{Ponta}}},DeficitBar_{{CB_{BAR_{3}}}{p_{Ponta}}},DemandBar_{{CB_{BAR_{4}}}{p_{Ponta}}},DeficitBar_{{CB_{BAR_{4}}}{p_{Ponta}}},DemandBar_{{CB_{BAR_{5}}}{p_{Ponta}}},DeficitBar_{{CB_{BAR_{5}}}{p_{Ponta}}},Cost_{var},Cost_{inv},CMO_{avg},CME_{avg}
180.0,1.0,1.0,0.0,0.0,0.0,200.0,1.0,1.0,0.0,0.0,0.0,0.0,611800.0,611800.0,-0.41889112,611800.0,611800.0,-0.10473032,611800.0,611800.0,-0.20944053,611800.0,611800.0,-0.31416902,611800.0,611800.0,0.0,0.41889112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10473032,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.20944053,0.0,0.0,0.0,0.4,1.0,1.0,0.0,0.20944053,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.31416902,0.0,0.0,0.0,0.6,1.0,1.0,0.0,0.31416902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31416902,0.0,0.0,0.0,0.0,0.0,0.0,-120.0,-0.3141608,0.0,0.0,0.0,-0.6,1.0,1.0,0.0,-0.3141608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10472209999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10471021000000001,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.20943870000000003,0.0,0.0,0.0,0.4,1.0,1.0,0.0,0.20943870000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10472849000000001,0.0,0.0,0.0,0.0,0.0,0.0,380.0,380,40,0.0,120,0.0,20,0.0,80,0.0,120,0.0,215004000.0,0.0,0.0,0.0
0.0,0.0,1.0,500.0,1.0,1.0,10.0,0.0,1.0,250.0,1.0,1.0,0.0,476727.27,476727.27,-0.24436526,476727.27,476727.27,-0.034924728,476727.27,476727.27,-0.41888106,476727.27,476727.27,-0.52361504,476727.27,476727.27,160.0,0.24436526,0.0,0.0,0.0,0.8,1.0,1.0,0.0,0.034924728,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.41888106,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.41888106,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.52361504,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.52361504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52361504,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,-0.209440532,0.0,0.0,0.0,-0.4,0.0,1.0,0.0,-0.209440532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27924978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.383956332,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.488690312,0.0,0.0,0.0,0.9333333333333333,0.0,1.0,0.0,0.488690312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10473398,0.0,0.0,0.0,0.0,0.0,0.0,760.0,760,80,0.0,240,0.0,40,0.0,160,0.0,240,0.0,312653636.3636364,49090909.090909086,3059000.0,3059000.0
0.0,0.0,1.0,500.0,0.0,1.0,100.0,0.0,1.0,250.0,0.0,1.0,0.0,433388.43,433388.43,-0.39271928,433388.43,433388.43,0.0,433388.43,433388.43,-0.52360133,433388.43,433388.43,-0.52361504,3611570.2,3611570.2,100.0,0.39271928,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.52360133,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.52360133,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.52361504,3178181.8,3178181.8,-317818180.0,1.0,0.0,1.0,0.0,0.52361504,3178181.8,3178181.8,0.0,0.0,0.0,0.0,0.0,0.52361504,3178181.8,3178181.8,0.0,0.0,0.0,0.0,-150.0,-0.392701002457,0.0,0.0,0.0,-0.75,0.0,1.0,0.0,-0.392701002457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13089576000000003,3178181.8,3178181.8,0.0,0.0,0.0,0.0,0.0,0.523583052457,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.523596762457,3178181.8,3178181.8,-476727270.0,1.0,0.0,1.0,0.0,0.523596762457,3178181.8,3178181.8,0.0,0.0,0.0,0.0,0.0,0.0,3178181.8,3178181.8,0.0,0.0,0.0,0.0,850.0,850,100,0.0,250,0.0,50,0.0,200,0.0,250,0.0,323235537.1900826,44628099.17355371,2383636.35,2383636.35
150.0,0.0,1.0,500.0,0.0,1.0,200.0,0.0,1.0,250.0,0.0,1.0,0.0,459654.4,459654.4,-0.52361961,459654.4,459654.4,0.0,393989.48,393989.48,-0.52360133,459654.4,459654.4,-0.52361504,459654.4,459654.4,100.0,0.52361961,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,65664.914,65664.914,0.0,0.0,0.0,0.0,200.0,0.52360133,0.0,0.0,0.0,1.0,0.0,1.0,50.0,0.52360133,0.0,0.0,0.0,0.25,1.0,1.0,100.0,0.52361504,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.52361504,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.52361504,0.0,0.0,0.0,0.5,1.0,1.0,-200.0,-0.523601332457,65664.914,65664.914,13132982.8,-1.0,0.0,1.0,0.0,-0.523601332457,65664.914,65664.914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523583052457,65664.914,65664.914,0.0,0.0,0.0,0.0,150.0,0.523596762457,65664.914,65664.914,-9849737.100000001,1.0,0.0,1.0,0.0,0.523596762457,65664.914,65664.914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,1100,150,0.0,300,0.0,100,0.0,250,0.0,300,0.0,402197595.792637,47332832.45679938,5345123.92,5345123.92
320.0,0.0,1.0,500.0,0.0,1.0,200.0,0.0,1.0,250.0,0.0,1.0,0.0,417867.63,417867.63,-0.39271928,417867.63,417867.63,0.0,417867.63,417867.63,-0.52360133,417867.63,417867.63,-0.52361504,417867.63,417867.63,200.0,0.39271928,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.52360133,0.0,0.0,0.0,1.0,0.0,1.0,50.0,0.52360133,0.0,0.0,0.0,0.25,0.0,1.0,100.0,0.52361504,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.52361504,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.52361504,0.0,0.0,0.0,0.7000000000000001,0.0,1.0,-150.0,-0.392701002457,0.0,0.0,0.0,-0.75,0.0,1.0,0.0,-0.392701002457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13089576000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523583052457,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.523596762457,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.523596762457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270.0,1270,200,0.0,350,0.0,150,0.0,250,0.0,320,0.0,436671675.4320059,43029847.68799944,2232607.08,2232607.08
