G_{{g_{GER_{1}}}{p_{Ponta}}},Y_{g_{GER_{1}}},X_{g_{GER_{1}}},G_{{g_{GER_{2}}}{p_{Ponta}}},Y_{g_{GER_{2}}},X_{g_{GER_{2}}},G_{{g_{GER_{3}}}{p_{Ponta}}},Y_{g_{GER_{3}}},X_{g_{GER_{3}}},G_{{g_{GER_{4}}}{p_{Ponta}}},Y_{g_{GER_{4}}},X_{g_{GER_{4}}},\Theta_{{CB_{BAR_{1}}}{p_{Ponta}}},CMOBar_{{CB_{BAR_{1}}}{p_{Ponta}}},CMEBar_{{CB_{BAR_{1}}}{p_{Ponta}}},\Theta_{{CB_{BAR_{2}}}{p_{Ponta}}},CMOBar_{{CB_{BAR_{2}}}{p_{Ponta}}},CMEBar_{{CB_{BAR_{2}}}{p_{Ponta}}},\Theta_{{CB_{BAR_{3}}}{p_{Ponta}}},CMOBar_{{CB_{BAR_{3}}}{p_{Ponta}}},CMEBar_{{CB_{BAR_{3}}}{p_{Ponta}}},\Theta_{{CB_{BAR_{4}}}{p_{Ponta}}},CMOBar_{{CB_{BAR_{4}}}{p_{Ponta}}},CMEBar_{{CB_{BAR_{4}}}{p_{Ponta}}},\Theta_{{CB_{BAR_{5}}}{p_{Ponta}}},CMOBar_{{CB_{BAR_{5}}}{p_{Ponta}}},CMEBar_{{CB_{BAR_{5}}}{p_{Ponta}}},F_{{LT_{LINE_{120}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{120}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{120}}}{p_{Ponta}}},CMET_{{LT_{LINE_{120}}}{p_{Ponta}}},CRT_{{LT_{LINE_{120}}}{p_{Ponta}}},UR_{{LT_{LINE_{120}}}{p_{Ponta}}},Y_{l_{LINE_{120}}},X_{l_{LINE_{120}}},F_{{LT_{LINE_{130}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{130}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{130}}}{p_{Ponta}}},CMET_{{LT_{LINE_{130}}}{p_{Ponta}}},CRT_{{LT_{LINE_{130}}}{p_{Ponta}}},UR_{{LT_{LINE_{130}}}{p_{Ponta}}},Y_{l_{LINE_{130}}},X_{l_{LINE_{130}}},F_{{LT_{LINE_{140}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{140}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{140}}}{p_{Ponta}}},CMET_{{LT_{LINE_{140}}}{p_{Ponta}}},CRT_{{LT_{LINE_{140}}}{p_{Ponta}}},UR_{{LT_{LINE_{140}}}{p_{Ponta}}},Y_{l_{LINE_{140}}},X_{l_{LINE_{140}}},F_{{LT_{LINE_{141}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{141}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{141}}}{p_{Ponta}}},CMET_{{LT_{LINE_{141}}}{p_{Ponta}}},CRT_{{LT_{LINE_{141}}}{p_{Ponta}}},UR_{{LT_{LINE_{141}}}{p_{Ponta}}},Y_{l_{LINE_{141}}},X_{l_{LINE_{141}}},F_{{LT_{LINE_{150}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{150}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{150}}}{p_{Ponta}}},CMET_{{LT_{LINE_{150}}}{p_{Ponta}}},CRT_{{LT_{LINE_{150}}}{p_{Ponta}}},UR_{{LT_{LINE_{150}}}{p_{Ponta}}},Y_{l_{LINE_{150}}},X_{l_{LINE_{150}}},F_{{LT_{LINE_{151}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{151}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{151}}}{p_{Ponta}}},CMET_{{LT_{LINE_{151}}}{p_{Ponta}}},CRT_{{LT_{LINE_{151}}}{p_{Ponta}}},UR_{{LT_{LINE_{151}}}{p_{Ponta}}},Y_{l_{LINE_{151}}},X_{l_{LINE_{151}}},F_{{LT_{LINE_{152}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{152}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{152}}}{p_{Ponta}}},CMET_{{LT_{LINE_{152}}}{p_{Ponta}}},CRT_{{LT_{LINE_{152}}}{p_{Ponta}}},UR_{{LT_{LINE_{152}}}{p_{Ponta}}},Y_{l_{LINE_{152}}},X_{l_{LINE_{152}}},F_{{LT_{LINE_{230}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{230}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{230}}}{p_{Ponta}}},CMET_{{LT_{LINE_{230}}}{p_{Ponta}}},CRT_{{LT_{LINE_{230}}}{p_{Ponta}}},UR_{{LT_{LINE_{230}}}{p_{Ponta}}},Y_{l_{LINE_{230}}},X_{l_{LINE_{230}}},F_{{LT_{LINE_{231}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{231}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{231}}}{p_{Ponta}}},CMET_{{LT_{LINE_{231}}}{p_{Ponta}}},CRT_{{LT_{LINE_{231}}}{p_{Ponta}}},UR_{{LT_{LINE_{231}}}{p_{Ponta}}},Y_{l_{LINE_{231}}},X_{l_{LINE_{231}}},F_{{LT_{LINE_{250}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{250}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{250}}}{p_{Ponta}}},CMET_{{LT_{LINE_{250}}}{p_{Ponta}}},CRT_{{LT_{LINE_{250}}}{p_{Ponta}}},UR_{{LT_{LINE_{250}}}{p_{Ponta}}},Y_{l_{LINE_{250}}},X_{l_{LINE_{250}}},F_{{LT_{LINE_{340}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{340}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{340}}}{p_{Ponta}}},CMET_{{LT_{LINE_{340}}}{p_{Ponta}}},CRT_{{LT_{LINE_{340}}}{p_{Ponta}}},UR_{{LT_{LINE_{340}}}{p_{Ponta}}},Y_{l_{LINE_{340}}},X_{l_{LINE_{340}}},F_{{LT_{LINE_{350}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{350}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{350}}}{p_{Ponta}}},CMET_{{LT_{LINE_{350}}}{p_{Ponta}}},CRT_{{LT_{LINE_{350}}}{p_{Ponta}}},UR_{{LT_{LINE_{350}}}{p_{Ponta}}},Y_{l_{LINE_{350}}},X_{l_{LINE_{350}}},F_{{LT_{LINE_{351}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{351}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{351}}}{p_{Ponta}}},CMET_{{LT_{LINE_{351}}}{p_{Ponta}}},CRT_{{LT_{LINE_{351}}}{p_{Ponta}}},UR_{{LT_{LINE_{351}}}{p_{Ponta}}},Y_{l_{LINE_{351}}},X_{l_{LINE_{351}}},F_{{LT_{LINE_{450}}}{p_{Ponta}}},\Delta_{\Theta_{LT_{LINE_{450}}}{p_{Ponta}}},CMOT_{{LT_{LINE_{450}}}{p_{Ponta}}},CMET_{{LT_{LINE_{450}}}{p_{Ponta}}},CRT_{{LT_{LINE_{450}}}{p_{Ponta}}},UR_{{LT_{LINE_{450}}}{p_{Ponta}}},Y_{l_{LINE_{450}}},X_{l_{LINE_{450}}},Ge_{Total}{Ponta},Demand_{Total}{Ponta},DemandBar_{{CB_{BAR_{1}}}{p_{Ponta}}},DeficitBar_{{CB_{BAR_{1}}}{p_{Ponta}}},DemandBar_{{CB_{BAR_{2}}}{p_{Ponta}}},DeficitBar_{{CB_{BAR_{2}}}{p_{Ponta}}},DemandBar_{{CB_{BAR_{3}}}{p_{Ponta}}},DeficitBar_{{CB_{BAR_{3}}}{p_{Ponta}}},DemandBar_{{CB_{BAR_{4}}}{p_{Ponta}}},DeficitBar_{{CB_{BAR_{4}}}{p_{Ponta}}},DemandBar_{{CB_{BAR_{5}}}{p_{Ponta}}},DeficitBar_{{CB_{BAR_{5}}}{p_{Ponta}}},Cost_{var},Cost_{inv},CMO_{avg},CME_{avg}
180.0,1.0,1.0,0.0,0.0,0.0,200.0,1.0,1.0,0.0,0.0,0.0,0.0,611800.0,611800.0,-0.41889112,611800.0,611800.0,-0.10473032,611800.0,611800.0,-0.20944053,611800.0,611800.0,-0.31416902,611800.0,611800.0,0.0,0.41889112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10473032,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.20944053,0.0,0.0,0.0,0.4,1.0,1.0,0.0,0.20944053,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.31416902,0.0,0.0,0.0,0.6,1.0,1.0,0.0,0.31416902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31416902,0.0,0.0,0.0,0.0,0.0,0.0,-120.0,-0.3141608,0.0,0.0,0.0,-0.6,1.0,1.0,0.0,-0.3141608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10472209999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10471021000000001,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.20943870000000003,0.0,0.0,0.0,0.4,1.0,1.0,0.0,0.20943870000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10472849000000001,0.0,0.0,0.0,0.0,0.0,0.0,380.0,380,40,0.0,120,0.0,20,0.0,80,0.0,120,0.0,215004000.0,0.0,0.0,0.0
0.0,0.0,1.0,500.0,1.0,1.0,10.0,0.0,1.0,250.0,1.0,1.0,0.0,476727.27,476727.27,-0.43384435,476727.27,476727.27,-0.2393671,476727.27,476727.27,-0.41888106,476727.27,476727.27,-0.49368769,476727.27,476727.27,165.71553,0.43384435,0.0,0.0,0.0,0.82857765,1.0,1.0,0.0,0.2393671,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.41888106,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.41888106,0.0,0.0,0.0,0.0,0.0,0.0,94.284475,0.49368769,0.0,0.0,0.0,0.94284475,0.0,1.0,0.0,0.49368769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49368769,0.0,0.0,0.0,0.0,0.0,0.0,-74.284475,-0.19447725,0.0,0.0,0.0,-0.371422375,0.0,1.0,0.0,-0.19447725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05984334000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17951396000000003,0.0,0.0,0.0,0.0,0.0,0.0,72.857763,0.25432059,0.0,0.0,0.0,0.4857184200000001,0.0,1.0,72.857763,0.25432059,0.0,0.0,0.0,0.4857184200000001,1.0,1.0,0.0,0.07480662999999999,0.0,0.0,0.0,0.0,0.0,0.0,760.0,760,80,0.0,240,0.0,40,0.0,160,0.0,240,0.0,312653636.3636364,50909090.90909091,3059000.0,3059000.0
0.0,0.0,1.0,500.0,0.0,1.0,100.0,0.0,1.0,250.0,0.0,1.0,0.0,433388.43,433388.43,-0.34595347,433388.43,433388.43,-0.03740527,433388.43,433388.43,-0.52360133,3611570.2,3611570.2,-0.35530503,433388.43,433388.43,132.14385,0.34595347,0.0,0.0,0.0,0.66071925,0.0,1.0,0.0,0.03740527,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.52360133,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.52360133,6356363.6,6356363.6,0.0,0.0,0.0,0.0,67.856154,0.35530503,0.0,0.0,0.0,0.67856154,0.0,1.0,0.0,0.35530503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35530503,0.0,0.0,0.0,0.0,0.0,0.0,-117.85615,-0.3085482,0.0,0.0,0.0,-0.58928075,0.0,1.0,0.0,-0.3085482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009351560000000037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48619606,3178181.8,3178181.8,0.0,0.0,0.0,0.0,91.071923,0.31789976000000003,0.0,0.0,0.0,0.6071461533333333,0.0,1.0,91.071923,0.31789976000000003,0.0,0.0,0.0,0.6071461533333333,0.0,1.0,0.0,-0.16829629999999995,3178181.8,3178181.8,0.0,0.0,0.0,0.0,850.0,850,100,0.0,250,0.0,50,0.0,200,0.0,250,0.0,323235537.1900826,46280991.735537186,2383636.35,2383636.35
150.0,0.0,1.0,500.0,0.0,1.0,200.0,0.0,1.0,250.0,0.0,1.0,0.0,459654.4,459654.4,-0.43010431,459654.4,459654.4,-0.074806624,459654.4,459654.4,-0.32725083,459654.4,459654.4,-0.44880646,459654.4,459654.4,164.28694,0.43010431,0.0,0.0,0.0,0.8214347,0.0,1.0,0.0,0.074806624,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.32725083,0.0,0.0,0.0,0.625,0.0,1.0,125.0,0.32725083,0.0,0.0,0.0,0.625,1.0,1.0,85.713057,0.44880646,0.0,0.0,0.0,0.85713057,0.0,1.0,0.0,0.44880646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44880646,0.0,0.0,0.0,0.0,0.0,0.0,-135.71306,-0.355297686,0.0,0.0,0.0,-0.6785653,0.0,1.0,0.0,-0.355297686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01870215000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252444206,0.0,0.0,0.0,0.0,0.0,0.0,107.14347,0.37399983600000003,0.0,0.0,0.0,0.7142898,0.0,1.0,107.14347,0.37399983600000003,0.0,0.0,0.0,0.7142898,0.0,1.0,0.0,0.12155563000000003,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,1100,150,0.0,300,0.0,100,0.0,250,0.0,300,0.0,402197595.792637,46581517.6558978,5345123.92,5345123.92
320.0,0.0,1.0,500.0,0.0,1.0,200.0,0.0,1.0,250.0,0.0,1.0,0.0,417867.63,417867.63,-0.47813538,417867.63,417867.63,-0.25905191,417867.63,417867.63,-0.32725083,417867.63,417867.63,-0.49053992,417867.63,417867.63,182.63337,0.47813538,0.0,0.0,0.0,0.9131668500000001,0.0,1.0,0.0,0.25905191,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.32725083,0.0,0.0,0.0,0.625,0.0,1.0,125.0,0.32725083,0.0,0.0,0.0,0.625,0.0,1.0,93.683314,0.49053992,0.0,0.0,0.0,0.93683314,0.0,1.0,0.0,0.49053992,0.0,0.0,0.0,0.0,0.0,0.0,93.683314,0.49053992,0.0,0.0,0.0,0.93683314,1.0,1.0,-83.683314,-0.21908347,0.0,0.0,0.0,-0.41841657,0.0,1.0,-83.683314,-0.21908347,0.0,0.0,0.0,-0.41841657,1.0,1.0,0.0,0.01240454000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06819892,0.0,0.0,0.0,0.0,0.0,0.0,66.316686,0.23148801000000002,0.0,0.0,0.0,0.44211124000000007,0.0,1.0,66.316686,0.23148801000000002,0.0,0.0,0.0,0.44211124000000007,0.0,1.0,0.0,0.16328909000000003,0.0,0.0,0.0,0.0,0.0,0.0,1270.0,1270,200,0.0,350,0.0,150,0.0,250,0.0,320,0.0,436671675.4320059,45761901.50945973,2298272.0,2298272.0
