T,Q_{h_{UHE_{1}}},V_{h_{UHE_{1}}},G_{h_{UHE_{1}}},S_{h_{UHE_{1}}},Q_{h_{UHE_{2}}},V_{h_{UHE_{2}}},G_{h_{UHE_{2}}},S_{h_{UHE_{2}}},Ge_{Total},DemandBar_{b_{BAR_{1}}},DeficitBar_{b_{BAR_{1}}},Demand_{Total},Deficit_{Total},Cost_{var},Cost_{start},Cost_{def},Cost_{t}
1,277.77777777777777,2499.72,250.0,0.0,500.0,5001.0,450.0,0.0,700.0,700.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0
2,333.33333333333337,2499.276,300.0,0.0,500.0,5002.128,450.0,0.0,750.0,750.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0
3,600.0,2497.908,540.0,0.0,344.44444444444446,5004.704,310.0,0.0,850.0,850.0,0.0,850.0,0.0,0.0,0.0,0.0,0.0
4,555.5555555555555,2496.736,500.0,0.0,500.0,5006.487999999999,450.0,0.0,950.0,950.0,0.0,950.0,0.0,0.0,0.0,0.0,0.0
5,600.0,2495.44,540.0,0.0,500.0,5008.359999999999,450.0,0.0,990.0,1000.0,10.0,1000.0,10.0,0.0,0.0,10000.0,10000.0
6,600.0,2494.18,540.0,0.0,500.0,5010.159999999998,450.0,0.0,990.0,1100.0,110.0,1100.0,110.0,0.0,0.0,110000.0,110000.0
7,600.0,2492.9559999999997,540.0,0.0,500.0,5011.887999999998,450.0,0.0,990.0,1150.0,160.0,1150.0,160.0,0.0,0.0,160000.0,160000.0
8,600.0,2491.7679999999996,540.0,0.0,500.0,5013.543999999998,450.0,0.0,990.0,1200.0,210.0,1200.0,210.0,0.0,0.0,210000.0,210000.0
9,600.0,2490.6159999999995,540.0,0.0,500.0,5015.127999999998,450.0,0.0,990.0,1250.0,260.0,1250.0,260.0,0.0,0.0,260000.0,260000.0
10,600.0,2489.4999999999995,540.0,0.0,500.0,5016.639999999998,450.0,0.0,990.0,1400.0,410.0,1400.0,410.0,0.0,0.0,410000.0,410000.0
11,600.0,2488.4199999999996,540.0,0.0,500.0,5018.079999999997,450.0,0.0,990.0,1500.0,510.0,1500.0,510.0,0.0,0.0,510000.0,510000.0
12,600.0,2487.3759999999997,540.0,0.0,500.0,5019.591999999997,450.0,0.0,990.0,1400.0,410.0,1400.0,410.0,0.0,0.0,410000.0,410000.0
13,600.0,2486.368,540.0,0.0,500.0,5021.175999999997,450.0,0.0,990.0,1400.0,410.0,1400.0,410.0,0.0,0.0,410000.0,410000.0
14,600.0,2485.3959999999997,540.0,0.0,500.0,5022.831999999997,450.0,0.0,990.0,1300.0,310.0,1300.0,310.0,0.0,0.0,310000.0,310000.0
15,600.0,2484.4959999999996,540.0,0.0,500.0,5024.559999999997,450.0,0.0,990.0,1400.0,410.0,1400.0,410.0,0.0,0.0,410000.0,410000.0
16,600.0,2483.2359999999994,540.0,0.0,500.0,5026.359999999996,450.0,0.0,990.0,1600.0,610.0,1600.0,610.0,0.0,0.0,610000.0,610000.0
17,600.0,2481.9399999999996,540.0,0.0,500.0,5028.231999999995,450.0,0.0,990.0,1700.0,710.0,1700.0,710.0,0.0,0.0,710000.0,710000.0
18,600.0,2480.6079999999997,540.0,0.0,500.0,5030.175999999995,450.0,0.0,990.0,1900.0,910.0,1900.0,910.0,0.0,0.0,910000.0,910000.0
19,600.0,2479.24,540.0,0.0,500.0,5032.191999999995,450.0,0.0,990.0,2000.0,1010.0,2000.0,1010.0,0.0,0.0,1010000.0,1010000.0
20,600.0,2477.836,540.0,0.0,500.0,5034.279999999994,450.0,0.0,990.0,1800.0,810.0,1800.0,810.0,0.0,0.0,810000.0,810000.0
21,600.0,2476.3959999999997,540.0,0.0,500.0,5036.439999999994,450.0,0.0,990.0,1300.0,310.0,1300.0,310.0,0.0,0.0,310000.0,310000.0
22,600.0,2474.9199999999996,540.0,0.0,500.0,5038.635999999994,450.0,0.0,990.0,1100.0,110.0,1100.0,110.0,0.0,0.0,110000.0,110000.0
23,600.0,2473.4079999999994,540.0,0.0,400.0,5041.227999999995,360.0,0.0,900.0,900.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0
24,600.0,2471.8599999999997,540.0,0.0,288.8888888888889,5043.967999999994,260.0,0.0,800.0,800.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0
