D_{s_{BAT_{1}}},C_{s_{BAT_{1}}},G_{s_{BAT_{1}}},E_{s_{BAT_{1}}},T,Q_{h_{UHE_{1}}},V_{h_{UHE_{1}}},G_{h_{UHE_{1}}},S_{h_{UHE_{1}}},Q_{h_{UHE_{2}}},V_{h_{UHE_{2}}},G_{h_{UHE_{2}}},S_{h_{UHE_{2}}},G_{t_{UT_{1}}},U_{UT_{1}},Y_{UT_{1}},W_{UT_{1}},G_{t_{UT_{2}}},U_{UT_{2}},Y_{UT_{2}},W_{UT_{2}},G_{t_{UT_{3}}},U_{UT_{3}},Y_{UT_{3}},W_{UT_{3}},G_{t_{UT_{4}}},U_{UT_{4}},Y_{UT_{4}},W_{UT_{4}},G_{t_{UT_{5}}},U_{UT_{5}},Y_{UT_{5}},W_{UT_{5}},G_{t_{UT_{6}}},U_{UT_{6}},Y_{UT_{6}},W_{UT_{6}},G_{t_{UT_{7}}},U_{UT_{7}},Y_{UT_{7}},W_{UT_{7}},G_{t_{UT_{8}}},U_{UT_{8}},Y_{UT_{8}},W_{UT_{8}},G_{t_{UT_{9}}},U_{UT_{9}},Y_{UT_{9}},W_{UT_{9}},G_{t_{UT_{10}}},U_{UT_{10}},Y_{UT_{10}},W_{UT_{10}},G_{r_{EOL_{1}}},G_{r_{SOL_{1}}},Ge_{Total},Demand,Deficit,Cost_{var},Cost_{start},Cost_{def},Cost_{t}
141.65704401707325,0.0,141.65704401707325,604.1558532980578,11,532.2719714141773,2490.116368455441,403.12560940741906,0.0,374.6257706355379,5021.077391801761,315.21734021803235,0.0,455.00000454683146,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,45.00000044985613,140.00000139985613,1500.0000000561051,1500.0,0.0,8465.82207588409,0.0,0.0,8465.82207588409
26.67866633923398,0.0,26.67866633923398,576.0730466170817,12,532.2901711652617,2489.3161238392645,403.05993325545336,0.0,374.64381714668707,5022.796918676222,315.26139389787335,0.0,455.00000454683146,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,40.00000039985613,160.00000159985612,1400.0000000561104,1400.0,0.0,8465.82207588357,0.0,0.0,8465.82207588357
52.37606394280297,0.0,52.37606394280297,520.9403477218225,13,532.3088235367798,2488.5518120745505,402.99719064283323,0.0,374.66228136684555,5024.588446228027,315.3072880626858,0.0,419.3194552910892,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,40.00000039985613,170.00000169985614,1400.0000000561092,1400.0,0.0,7873.179808127802,0.0,0.0,7873.179808127802
0.0,-2.611796755048329,-2.611796755048329,523.4215546480915,14,532.2978011966926,2487.8235399902596,402.9373277912204,0.0,374.6726072935584,5026.451896926073,315.35501210312935,0.0,369.3194547941263,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,45.000000449840584,170.0000016998406,1300.000000083109,1300.0,0.0,7044.752465767831,0.0,0.0,7044.752465767831
0.0,-125.03208288788386,-125.03208288788386,642.2020334005541,15,532.3177973138379,2487.1671959199475,402.8834317498871,0.0,374.69190694815944,5028.387350131383,315.40458495045914,0.0,354.8967521341625,1,0,0,241.84731203152108,1,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,50.00000049984058,160.00000159984057,1400.000000077827,1400.0,0.0,11968.651778884758,5000.0,0.0,16968.651778884756
0.0,0.0,0.0,642.2020334010649,16,532.3467999848266,2486.15074744002,402.79993237645857,0.0,374.71542642170556,5030.394823076204,315.4560006712918,0.0,404.89675263107364,1,0,0,291.8473125300388,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,55.000000549849034,130.00000129984903,1600.0000000657055,1600.0,0.0,13667.659106711157,0.0,0.0,13667.659106711157
25.033254055758995,0.0,25.033254055758995,615.8512396500626,17,532.3719148125587,2485.0982085467126,402.71342427547734,0.0,374.7383780626112,5032.474303808498,315.50925395531806,0.0,454.8967531279054,1,0,0,341.84731302904925,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,60.00000059985613,100.00000099985613,1700.0000000561367,1700.0,0.0,15370.61643460075,0.0,0.0,15370.61643460075
64.96443344112116,0.0,64.96443344112116,547.4676254934158,18,532.3866636254646,2484.0096165576792,402.62390286421385,0.0,374.75892656681935,5034.625763661903,315.564342976644,0.0,455.00000454683146,1,0,0,391.84731352808046,1,0,0,0.0,0,0,0,130.00000129321,1,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,80.00000079985612,60.00000059985613,1900.000000056148,1900.0,0.0,19107.36446755345,560.0,0.0,19667.36446755345
150.00000149946104,0.0,150.00000149946104,389.5728870638055,19,532.4316297897446,2482.884862690455,402.5314024945926,0.0,374.7885704356224,5036.849278675571,315.6212750961493,0.0,455.0000045495394,1,0,0,441.84731402714266,1,0,0,0.0,0,0,0,130.00000129950067,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,85.00000084988645,20.00000019988644,2000.0000000366422,2000.0,0.0,19983.286743450666,0.0,0.0,19983.286743450666
5.03678794700602,0.0,5.03678794700602,384.2710050062273,20,532.4223895736624,2481.7241420880073,402.4358558663897,0.0,374.8033986299389,5039.144707042962,315.6800359110603,0.0,455.00000454683146,1,0,0,391.8473135284891,1,0,0,0.0,0,0,0,130.0000012402657,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,100.00000099985613,0.0,1800.000000056153,1800.0,0.0,19107.36446665901,0.0,0.0,19107.36446665901
55.07472305845336,0.0,55.07472305845336,326.2976123050204,21,532.4358649030423,2480.5273729743735,402.3373264405507,0.0,374.8251935279049,5041.512105459907,315.74063570593586,0.0,0.0,0,0,1,341.84731302990025,1,0,0,0.0,0,0,0,80.0000007479265,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,105.00000104985612,0.0,1300.0000000561508,1300.0,0.0,8920.015107195306,0.0,0.0,8920.015107195306
0.0,-49.88525258511355,-49.88525258511355,373.6886022698513,22,532.4431262456554,2479.2945777199056,402.2357895934377,0.0,374.84555639087193,5043.915456711378,315.8021491757488,0.0,0.0,0,0,0,291.8473125313559,1,0,0,0.0,0,0,0,30.000000250688863,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,110.00000109984059,0.0,1100.0000000766222,1100.0,0.0,7210.587823160465,0.0,0.0,7210.587823160465
70.00417499852158,0.0,70.00417499852158,299.99999700015144,23,532.4587976968406,2478.025726048214,402.13124647442385,0.0,374.86862081285255,5046.354781348155,315.864577429149,0.0,0.0,0,0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,112.00000111985612,0.0,900.0000000562127,900.0,0.0,0.0,0.0,0.0,0.0
53.75066412530765,-71.09241702627266,-17.341752900965005,310.95814672741824,24,519.44947198042,2476.7677079490904,401.42041722553057,0.0,372.5670730339038,5048.503557984362,315.8884723901302,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,100.03286339272702,0.0,800.0000001075897,800.0,0.0,0.0,0.0,0.0,0.0
