T,FCF_{1},FCF_{2},FCF_{3},FCF_{4},FCF_{5},FCF_{6},FCF_{7},FCF_{8},FCF_{9},FCF_{10},FCF_{11},FCF_{12}
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,37873.79,37881.874,37737.5,37595.5,31345.5,25270.5,25107.5,18857.5,12782.5,12325.0,6075.0,0.0
3,37885.98,37885.98,37758.5,37595.5,31345.5,25270.5,25107.5,18857.5,12782.5,12325.0,6075.0,0.0
4,37899.059,37890.861,37758.5,37595.5,31345.5,25270.5,25107.5,18857.5,12782.5,12325.0,6075.0,0.0
5,37906.172,37892.611,37758.5,37595.5,31345.5,25270.5,25107.5,18857.5,12782.5,12325.0,6075.0,0.0
6,43049.042,43034.566,37758.5,37595.5,31345.5,25270.5,25107.5,18857.5,12782.5,12325.0,6075.0,0.0
7,43848.232,43833.5,37758.5,37595.5,31345.5,25270.5,25107.5,18857.5,12782.5,12325.0,6075.0,0.0
