T,FCF_{1},FCF_{2},FCF_{3},FCF_{4},FCF_{5},FCF_{6},FCF_{7},FCF_{8},FCF_{9},FCF_{10},FCF_{11},FCF_{12}
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,37677.632,37695.767,37547.5,37595.5,31345.5,25270.5,25107.5,18857.5,12782.5,12325.0,6075.0,0.0
3,37703.527,37703.527,37758.5,37595.5,31345.5,25270.5,25107.5,18857.5,12782.5,12325.0,6075.0,0.0
4,37747.492,37739.865,37758.5,37595.5,31345.5,25270.5,25107.5,18857.5,12782.5,12325.0,6075.0,0.0
5,39787.139,39772.25,37758.5,37595.5,31345.5,25270.5,25107.5,18857.5,12782.5,12325.0,6075.0,0.0
